customer_id,Recency,Frequency,Monetary,age,gender,shopping_mall,payment_method,category,is_churn,gender_code,shopping_mall_code,payment_method_code,category_code
C101956,189,4,10481.0,27,Female,Mall of Istanbul,Debit Card,Cosmetics,0,0,5,2,2
C101965,29,12,24968.0,58,Female,Forum Istanbul,Cash,Clothing,0,0,2,0,1
C102006,8,18,92143.0,64,Male,Metrocity,Cash,Clothing,0,1,6,0,1
C102007,372,2,7520.0,30,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C102058,18,4,28203.0,28,Male,Metropol AVM,Credit Card,Cosmetics,0,1,7,1,2
C102103,110,21,40342.0,56,Female,Viaport Outlet,Debit Card,Clothing,0,0,8,2,1
C102138,119,12,9345.0,38,Female,Metropol AVM,Cash,Clothing,0,0,7,0,1
C102168,41,25,84068.0,22,Male,Istinye Park,Cash,Clothing,0,1,3,0,1
C102179,134,9,9005.0,59,Female,Kanyon,Debit Card,Souvenir,0,0,4,2,5
C102217,107,2,15371.0,56,Female,Istinye Park,Credit Card,Cosmetics,1,0,3,1,2
C102229,405,4,20444.0,61,Male,Mall of Istanbul,Debit Card,Clothing,1,1,5,2,1
C102277,75,5,1146.0,32,Female,Mall of Istanbul,Cash,Toys,0,0,5,0,7
C102283,34,11,20477.0,31,Male,Metropol AVM,Cash,Clothing,0,1,7,0,1
C102286,18,11,13027.0,68,Male,Viaport Outlet,Cash,Clothing,0,1,8,0,1
C102305,205,3,15391.0,29,Male,Kanyon,Credit Card,Cosmetics,0,1,4,1,2
C102318,314,3,877.0,64,Male,Metropol AVM,Cash,Clothing,1,1,7,0,1
C102332,1,19,42956.0,39,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C102341,2,22,31760.0,53,Female,Metropol AVM,Debit Card,Clothing,0,0,7,2,1
C102371,262,6,7169.0,62,Female,Mall of Istanbul,Debit Card,Clothing,1,0,5,2,1
C102426,173,12,14285.0,34,Male,Mall of Istanbul,Cash,Clothing,1,1,5,0,1
C102454,122,1,130.0,42,Female,Cevahir AVM,Cash,Food & Beverage,1,0,0,0,3
C102459,14,17,29773.0,32,Female,Mall of Istanbul,Cash,Cosmetics,0,0,5,0,2
C102488,21,11,41561.0,43,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C102503,70,7,8072.0,49,Female,Mall of Istanbul,Cash,Food & Beverage,1,0,5,0,3
C102527,41,3,4067.0,20,Female,Cevahir AVM,Cash,Cosmetics,0,0,0,0,2
C102565,14,29,87642.0,35,Male,Metropol AVM,Cash,Clothing,0,1,7,0,1
C102575,114,13,32121.0,48,Female,Mall of Istanbul,Cash,Food & Beverage,1,0,5,0,3
C102621,17,22,41100.0,32,Female,Cevahir AVM,Credit Card,Clothing,0,0,0,1,1
C102678,47,21,51634.0,51,Female,Istinye Park,Credit Card,Clothing,0,0,3,1,1
C102685,98,16,64865.0,26,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C102708,3,20,51165.0,54,Female,Mall of Istanbul,Debit Card,Clothing,0,0,5,2,1
C102829,239,3,10284.0,18,Female,Cevahir AVM,Cash,Books,1,0,0,0,0
C102860,4,8,36337.0,42,Male,Mall of Istanbul,Cash,Clothing,0,1,5,0,1
C102942,37,3,6188.0,64,Male,Kanyon,Credit Card,Clothing,1,1,4,1,1
C102948,12,38,65957.0,34,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C102995,102,10,43366.0,30,Female,Kanyon,Debit Card,Clothing,0,0,4,2,1
C103006,93,2,348.0,31,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C103057,182,2,2724.0,52,Female,Metropol AVM,Credit Card,Shoes,1,0,7,1,4
C103174,120,1,4800.0,23,Female,Viaport Outlet,Cash,Clothing,0,0,8,0,1
C103206,7,21,105413.0,18,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C103211,82,10,35316.0,26,Female,Emaar Square Mall,Cash,Clothing,0,0,1,0,1
C103243,103,2,3715.0,46,Male,Mall of Istanbul,Cash,Clothing,1,1,5,0,1
C103298,84,1,5403.0,41,Male,Forum Istanbul,Credit Card,Shoes,1,1,2,1,4
C103324,70,14,41222.0,54,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C103328,228,2,15371.0,67,Female,Mall of Istanbul,Debit Card,Cosmetics,1,0,5,2,2
C103388,26,27,82427.0,32,Female,Istinye Park,Cash,Clothing,0,0,3,0,1
C103404,163,3,8400.0,67,Female,Emaar Square Mall,Debit Card,Clothing,1,0,1,2,1
C103405,5,21,104181.0,31,Male,Mall of Istanbul,Cash,Clothing,0,1,5,0,1
C103443,85,6,13689.0,50,Male,Mall of Istanbul,Credit Card,Shoes,0,1,5,1,4
C103503,21,8,5571.0,40,Male,Kanyon,Cash,Clothing,0,1,4,0,1
C103545,105,6,19799.0,56,Male,Forum Istanbul,Credit Card,Clothing,1,1,2,1,1
C103558,43,23,47042.0,50,Female,Viaport Outlet,Credit Card,Clothing,0,0,8,1,1
C103609,292,2,1020.0,38,Female,Emaar Square Mall,Credit Card,Cosmetics,1,0,1,1,2
C103613,280,3,3398.0,19,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C103638,7,19,48509.0,58,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C103676,210,1,7500.0,30,Male,Mall of Istanbul,Debit Card,Clothing,1,1,5,2,1
C103722,76,17,58217.0,66,Female,Istinye Park,Cash,Clothing,0,0,3,0,1
C103863,27,6,43374.0,23,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C103877,330,1,60.0,41,Female,Istinye Park,Credit Card,Books,1,0,3,1,0
C103904,48,7,10671.0,25,Male,Metropol AVM,Cash,Clothing,1,1,7,0,1
C103933,24,9,18298.0,22,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C103944,33,1,135.0,42,Male,Mall of Istanbul,Credit Card,Books,0,1,5,1,0
C104063,18,4,18749.0,57,Male,Kanyon,Debit Card,Shoes,0,1,4,2,4
C104117,5,31,66944.0,52,Female,Kanyon,Credit Card,Clothing,0,0,4,1,1
C104169,178,5,13043.0,20,Female,Kanyon,Credit Card,Cosmetics,1,0,4,1,2
C104172,267,2,26380.0,33,Female,Forum Istanbul,Cash,Food & Beverage,1,0,2,0,3
C104184,68,1,188.0,54,Female,Istinye Park,Debit Card,Souvenir,1,0,3,2,5
C104212,60,2,2405.0,19,Female,Kanyon,Credit Card,Food & Beverage,1,0,4,1,3
C104236,32,18,45144.0,50,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C104320,84,3,754.0,32,Female,Istinye Park,Cash,Cosmetics,0,0,3,0,2
C104323,2,29,98635.0,61,Female,Viaport Outlet,Cash,Clothing,0,0,8,0,1
C104349,154,11,29156.0,31,Male,Forum Istanbul,Credit Card,Clothing,0,1,2,1,1
C104409,129,9,19226.0,35,Female,Metropol AVM,Credit Card,Food & Beverage,0,0,7,1,3
C104418,182,7,11610.0,38,Male,Viaport Outlet,Credit Card,Food & Beverage,1,1,8,1,3
C104444,271,2,26404.0,27,Female,Emaar Square Mall,Cash,Shoes,1,0,1,0,4
C104484,218,2,2784.0,67,Female,Metropol AVM,Cash,Clothing,1,0,7,0,1
C104509,29,9,25595.0,27,Female,Mall of Istanbul,Debit Card,Clothing,1,0,5,2,1
C104520,1,10,33038.0,57,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C104615,677,1,144.0,48,Female,Kanyon,Credit Card,Toys,1,0,4,1,7
C104688,45,17,60069.0,63,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C104800,220,1,1200.0,41,Male,Kanyon,Debit Card,Clothing,1,1,4,2,1
C104845,44,11,25281.0,65,Female,Metropol AVM,Cash,Clothing,0,0,7,0,1
C104902,12,15,65646.0,49,Female,Mall of Istanbul,Cash,Food & Beverage,1,0,5,0,3
C104990,88,12,53713.0,58,Male,Metrocity,Cash,Food & Beverage,1,1,6,0,3
C104994,76,6,10166.0,51,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C105025,3,8,15188.0,33,Male,Metropol AVM,Debit Card,Clothing,1,1,7,2,1
C105111,47,18,57655.0,38,Male,Mall of Istanbul,Credit Card,Clothing,0,1,5,1,1
C105163,7,26,108431.0,41,Male,Mall of Istanbul,Debit Card,Clothing,0,1,5,2,1
C105232,111,6,9652.0,21,Female,Zorlu Center,Debit Card,Clothing,1,0,9,2,1
C105254,207,3,7954.0,19,Male,Metrocity,Cash,Clothing,1,1,6,0,1
C105319,161,10,10704.0,47,Female,Istinye Park,Credit Card,Clothing,0,0,3,1,1
C105378,149,7,35327.0,35,Female,Metropol AVM,Credit Card,Clothing,0,0,7,1,1
C105438,28,6,9648.0,37,Male,Kanyon,Credit Card,Clothing,0,1,4,1,1
C105511,37,28,66567.0,65,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C105552,492,3,8720.0,46,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C105553,100,9,49964.0,56,Male,Zorlu Center,Cash,Shoes,0,1,9,0,4
C105654,169,3,1304.0,54,Female,Mall of Istanbul,Cash,Food & Beverage,1,0,5,0,3
C105655,166,5,8433.0,27,Male,Metrocity,Debit Card,Food & Beverage,1,1,6,2,3
C105673,228,10,28405.0,44,Female,Viaport Outlet,Debit Card,Clothing,0,0,8,2,1
C105783,14,15,26601.0,28,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C105844,2,29,86686.0,23,Male,Mall of Istanbul,Credit Card,Food & Beverage,0,1,5,1,3
C105847,61,7,17068.0,43,Male,Cevahir AVM,Cash,Clothing,1,1,0,0,1
C105862,637,1,162.0,18,Female,Mall of Istanbul,Cash,Cosmetics,1,0,5,0,2
C105882,3,25,51788.0,53,Female,Zorlu Center,Credit Card,Clothing,0,0,9,1,1
C105923,467,1,84.0,64,Female,Metropol AVM,Credit Card,Food & Beverage,1,0,7,1,3
C105934,623,2,1667.0,36,Male,Istinye Park,Credit Card,Cosmetics,1,1,3,1,2
C105944,11,13,26808.0,68,Female,Kanyon,Credit Card,Food & Beverage,0,0,4,1,3
C105951,243,6,25217.0,33,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C106018,217,2,19054.0,42,Male,Cevahir AVM,Cash,Shoes,1,1,0,0,4
C106056,342,5,25063.0,54,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C106099,126,1,41.0,20,Female,Cevahir AVM,Debit Card,Cosmetics,1,0,0,2,2
C106108,153,3,5186.0,67,Male,Mall of Istanbul,Cash,Clothing,1,1,5,0,1
C106133,321,5,8092.0,21,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C106139,130,2,1852.0,40,Female,Metropol AVM,Cash,Clothing,1,0,7,0,1
C106143,4,18,46540.0,54,Male,Istinye Park,Credit Card,Clothing,0,1,3,1,1
C106153,67,17,32074.0,30,Male,Istinye Park,Cash,Clothing,0,1,3,0,1
C106196,398,1,324.0,18,Female,Mall of Istanbul,Debit Card,Toys,0,0,5,2,7
C106218,11,15,38308.0,49,Male,Kanyon,Cash,Clothing,0,1,4,0,1
C106280,53,7,11143.0,18,Female,Kanyon,Credit Card,Clothing,1,0,4,1,1
C106321,63,10,17554.0,39,Male,Kanyon,Debit Card,Clothing,0,1,4,2,1
C106397,162,8,8313.0,47,Male,Mall of Istanbul,Cash,Clothing,1,1,5,0,1
C106414,517,2,9624.0,60,Female,Istinye Park,Cash,Food & Beverage,0,0,3,0,3
C106452,172,5,7795.0,23,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C106464,502,1,7500.0,47,Male,Cevahir AVM,Credit Card,Clothing,1,1,0,1,1
C106482,554,1,324.0,32,Male,Mall of Istanbul,Debit Card,Toys,1,1,5,2,7
C106509,126,11,24446.0,23,Male,Emaar Square Mall,Credit Card,Clothing,0,1,1,1,1
C106511,62,23,50307.0,29,Female,Metropol AVM,Debit Card,Clothing,0,0,7,2,1
C106631,135,12,17287.0,65,Female,Viaport Outlet,Debit Card,Clothing,0,0,8,2,1
C106640,161,5,19464.0,57,Female,Viaport Outlet,Debit Card,Clothing,0,0,8,2,1
C106652,152,8,9369.0,27,Male,Mall of Istanbul,Cash,Food & Beverage,0,1,5,0,3
C106662,90,4,3889.0,29,Female,Mall of Istanbul,Cash,Cosmetics,1,0,5,0,2
C106670,4,13,29370.0,44,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C106728,102,6,8720.0,30,Female,Kanyon,Credit Card,Food & Beverage,0,0,4,1,3
C106730,60,6,17138.0,35,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C106742,219,4,9941.0,44,Male,Mall of Istanbul,Cash,Clothing,1,1,5,0,1
C106828,67,27,73491.0,52,Male,Metrocity,Cash,Clothing,0,1,6,0,1
C106844,375,5,3053.0,32,Male,Cevahir AVM,Credit Card,Food & Beverage,1,1,0,1,3
C106872,37,5,19966.0,33,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C106887,4,6,6454.0,45,Female,Viaport Outlet,Credit Card,Books,0,0,8,1,0
C107008,46,14,31808.0,43,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C107015,106,2,1339.0,40,Female,Kanyon,Credit Card,Cosmetics,0,0,4,1,2
C107022,169,6,18441.0,61,Male,Zorlu Center,Debit Card,Clothing,0,1,9,2,1
C107080,301,2,1260.0,44,Male,Viaport Outlet,Credit Card,Books,1,1,8,1,0
C107092,225,1,9604.0,42,Female,Cevahir AVM,Cash,Shoes,1,0,0,0,4
C107106,73,3,5488.0,26,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C107114,88,17,18795.0,21,Male,Metropol AVM,Credit Card,Clothing,0,1,7,1,1
C107170,28,12,9683.0,53,Female,Istinye Park,Credit Card,Cosmetics,0,0,3,1,2
C107220,63,5,8008.0,55,Female,Cevahir AVM,Credit Card,Clothing,1,0,0,1,1
C107231,91,8,24767.0,60,Male,Metropol AVM,Credit Card,Cosmetics,0,1,7,1,2
C107300,572,1,652.0,51,Female,Mall of Istanbul,Credit Card,Cosmetics,1,0,5,1,2
C107370,137,4,10025.0,48,Female,Kanyon,Debit Card,Clothing,1,0,4,2,1
C107425,76,9,11423.0,49,Female,Kanyon,Debit Card,Food & Beverage,0,0,4,2,3
C107467,489,1,1200.0,26,Female,Metropol AVM,Cash,Clothing,1,0,7,0,1
C107520,4,26,73373.0,67,Female,Metropol AVM,Debit Card,Clothing,0,0,7,2,1
C107557,117,4,2122.0,63,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C107564,84,1,5403.0,28,Female,Zorlu Center,Credit Card,Shoes,1,0,9,1,4
C107573,588,1,7500.0,33,Male,Metropol AVM,Debit Card,Clothing,1,1,7,2,1
C107640,59,2,13804.0,61,Male,Mall of Istanbul,Debit Card,Shoes,1,1,5,2,4
C107653,323,2,15053.0,46,Male,Mall of Istanbul,Cash,Food & Beverage,0,1,5,0,3
C107684,26,22,30472.0,65,Male,Metropol AVM,Credit Card,Clothing,0,1,7,1,1
C107689,691,1,162.0,41,Female,Emaar Square Mall,Cash,Cosmetics,1,0,1,0,2
C107735,6,1,1200.0,21,Female,Kanyon,Credit Card,Clothing,1,0,4,1,1
C107767,43,18,62480.0,21,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C107851,67,5,27090.0,46,Male,Kanyon,Cash,Clothing,1,1,4,0,1
C107885,625,1,300.0,69,Male,Istinye Park,Debit Card,Clothing,1,1,3,2,1
C107930,140,8,13710.0,54,Male,Emaar Square Mall,Cash,Clothing,1,1,1,0,1
C107945,12,25,63759.0,28,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C107948,8,12,39969.0,29,Male,Metropol AVM,Credit Card,Food & Beverage,0,1,7,1,3
C107996,361,2,7541.0,55,Female,Kanyon,Credit Card,Clothing,1,0,4,1,1
C107997,62,12,13165.0,65,Male,Kanyon,Cash,Clothing,0,1,4,0,1
C108044,44,11,31076.0,47,Male,Kanyon,Cash,Clothing,0,1,4,0,1
C108049,125,9,31040.0,20,Female,Istinye Park,Debit Card,Clothing,1,0,3,2,1
C108056,268,1,5.0,53,Male,Mall of Istanbul,Credit Card,Food & Beverage,1,1,5,1,3
C108082,149,4,1658.0,59,Male,Mall of Istanbul,Debit Card,Books,0,1,5,2,0
C108111,8,23,66674.0,41,Male,Metrocity,Cash,Clothing,0,1,6,0,1
C108246,93,4,8253.0,35,Male,Metrocity,Cash,Shoes,1,1,6,0,4
C108254,126,8,15349.0,58,Female,Cevahir AVM,Credit Card,Clothing,1,0,0,1,1
C108269,201,9,27865.0,26,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C108320,41,22,61882.0,18,Male,Metrocity,Debit Card,Clothing,0,1,6,2,1
C108336,582,2,1248.0,39,Female,Kanyon,Credit Card,Clothing,1,0,4,1,1
C108392,472,1,20.0,47,Male,Forum Istanbul,Cash,Food & Beverage,0,1,2,0,3
C108453,40,6,9392.0,66,Female,Metrocity,Cash,Books,1,0,6,0,0
C108469,401,2,1261.0,20,Male,Zorlu Center,Cash,Cosmetics,1,1,9,0,2
C108524,84,2,2862.0,65,Male,Mall of Istanbul,Debit Card,Clothing,1,1,5,2,1
C108532,127,1,1200.0,19,Male,Metrocity,Debit Card,Clothing,1,1,6,2,1
C108563,231,4,8411.0,25,Male,Metropol AVM,Credit Card,Shoes,1,1,7,1,4
C108591,195,5,4385.0,28,Female,Kanyon,Debit Card,Clothing,1,0,4,2,1
C108604,2,27,76222.0,39,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C108625,45,9,22546.0,59,Male,Mall of Istanbul,Debit Card,Clothing,0,1,5,2,1
C108638,19,17,50405.0,57,Female,Kanyon,Credit Card,Clothing,0,0,4,1,1
C108639,282,2,27450.0,46,Male,Cevahir AVM,Credit Card,Clothing,1,1,0,1,1
C108645,458,1,41.0,48,Male,Mall of Istanbul,Credit Card,Cosmetics,1,1,5,1,2
C108702,53,7,82915.0,40,Female,Zorlu Center,Cash,Shoes,1,0,9,0,4
C108711,5,20,55374.0,20,Male,Cevahir AVM,Credit Card,Clothing,0,1,0,1,1
C108746,154,7,3619.0,40,Female,Kanyon,Cash,Souvenir,0,0,4,0,5
C108785,323,2,5703.0,61,Female,Kanyon,Credit Card,Clothing,1,0,4,1,1
C108815,53,28,53368.0,33,Male,Metrocity,Cash,Clothing,0,1,6,0,1
C108855,45,4,22477.0,29,Female,Metrocity,Credit Card,Clothing,0,0,6,1,1
C108858,66,9,4601.0,55,Female,Cevahir AVM,Cash,Food & Beverage,1,0,0,0,3
C108864,578,1,366.0,52,Male,Metropol AVM,Debit Card,Cosmetics,0,1,7,2,2
C109025,8,36,90608.0,26,Female,Kanyon,Debit Card,Clothing,0,0,4,2,1
C109031,3,23,67606.0,24,Female,Emaar Square Mall,Credit Card,Clothing,0,0,1,1,1
C109086,75,20,77311.0,37,Female,Zorlu Center,Credit Card,Clothing,0,0,9,1,1
C109124,45,26,35686.0,25,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C109143,2,18,35984.0,37,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C109167,20,26,82640.0,26,Male,Metropol AVM,Credit Card,Food & Beverage,0,1,7,1,3
C109210,384,6,27055.0,36,Male,Zorlu Center,Cash,Clothing,1,1,9,0,1
C109230,41,22,59039.0,63,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C109231,58,24,39911.0,48,Female,Viaport Outlet,Debit Card,Clothing,0,0,8,2,1
C109283,33,25,45961.0,20,Female,Metropol AVM,Debit Card,Clothing,0,0,7,2,1
C109312,156,4,9636.0,31,Female,Metrocity,Debit Card,Clothing,1,0,6,2,1
C109314,164,8,35095.0,18,Male,Viaport Outlet,Cash,Clothing,0,1,8,0,1
C109318,30,13,18597.0,69,Male,Metropol AVM,Credit Card,Clothing,0,1,7,1,1
C109398,144,3,15046.0,34,Female,Emaar Square Mall,Cash,Clothing,1,0,1,0,1
C109455,63,3,5830.0,19,Female,Kanyon,Cash,Books,1,0,4,0,0
C109519,11,22,45999.0,45,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C109524,20,7,9753.0,50,Female,Metropol AVM,Cash,Clothing,1,0,7,0,1
C109530,122,7,3755.0,24,Female,Metrocity,Credit Card,Clothing,1,0,6,1,1
C109543,6,12,28978.0,21,Female,Istinye Park,Credit Card,Clothing,0,0,3,1,1
C109544,375,1,366.0,49,Male,Mall of Istanbul,Debit Card,Cosmetics,0,1,5,2,2
C109553,5,10,16281.0,27,Female,Kanyon,Debit Card,Shoes,0,0,4,2,4
C109771,104,2,1615.0,65,Male,Metrocity,Debit Card,Cosmetics,1,1,6,2,2
C109814,68,10,36762.0,66,Male,Cevahir AVM,Cash,Souvenir,0,1,0,0,5
C109846,68,4,7930.0,35,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C109851,55,13,43986.0,55,Female,Istinye Park,Cash,Clothing,0,0,3,0,1
C109869,10,20,40984.0,30,Female,Istinye Park,Cash,Clothing,0,0,3,0,1
C109877,570,2,5166.0,41,Male,Mall of Istanbul,Cash,Clothing,0,1,5,0,1
C109884,24,34,111238.0,37,Male,Metropol AVM,Credit Card,Clothing,0,1,7,1,1
C109885,636,1,300.0,49,Male,Metropol AVM,Cash,Clothing,1,1,7,0,1
C109904,3,10,47879.0,29,Male,Istinye Park,Cash,Food & Beverage,0,1,3,0,3
C110045,454,1,135.0,21,Female,Cevahir AVM,Credit Card,Books,1,0,0,1,0
C110113,19,12,30491.0,36,Female,Cevahir AVM,Credit Card,Clothing,1,0,0,1,1
C110144,16,20,61245.0,64,Male,Forum Istanbul,Credit Card,Clothing,0,1,2,1,1
C110164,21,37,80370.0,24,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C110199,88,11,34552.0,20,Female,Forum Istanbul,Debit Card,Food & Beverage,0,0,2,2,3
C110238,656,1,1200.0,56,Female,Cevahir AVM,Debit Card,Clothing,1,0,0,2,1
C110285,99,5,12411.0,30,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C110338,165,10,7445.0,45,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C110376,53,13,71264.0,44,Male,Mall of Istanbul,Credit Card,Clothing,0,1,5,1,1
